[A]행정구역별(시군구),행정구역별(시군구),취업인구-현거주지,취업인구-근무지
11,서울특별시,4704568,5423139
11010,종로구,72265,295339
11020,중구,59861,367256
11030,용산구,106678,158693
11040,성동구,144719,162332
11050,광진구,181481,143502
11060,동대문구,167533,184310
11070,중랑구,201743,124506
11080,성북구,210715,144507
11090,강북구,151430,95819
11100,도봉구,158846,92341
11110,노원구,252322,156984
11120,은평구,228374,120771
11130,서대문구,142557,139925
11140,마포구,187115,252796
11150,양천구,219117,141714
11160,강서구,280164,216475
11170,구로구,204936,228709
11180,금천구,119876,189225
11190,영등포구,185518,359841
11200,동작구,192677,133246
11210,관악구,258981,152254
11220,서초구,196572,370658
11230,강남구,255532,730238
11240,송파구,307353,300016
11250,강동구,218203,160448
21,부산광역시,1525412,1454981
21010,중구,20930,63237
21020,서구,47905,43178
21030,동구,38928,60847
21040,영도구,52186,45509
21050,부산진구,170817,162977
21060,동래구,120030,90960
21070,남구,120456,92789
21080,북구,131488,71554
21090,해운대구,178412,147858
21100,사하구,152160,124630
21110,금정구,105469,90611
21120,강서구,42763,123402
21130,연제구,91334,83972
21140,수영구,78636,55776
21150,사상구,109625,131506
21310,기장군,64273,66123
22,대구광역시,1081625,993519
22010,중구,35942,84663
22020,동구,147807,121648
22030,서구,92567,79912
22040,남구,67827,55872
22050,북구,198867,182676
22060,수성구,182532,139169
22070,달서구,268645,235667
22310,달성군,87438,93830
23,인천광역시,1363924,1177561
23010,중구,53409,113146
23020,동구,32729,37648
23030,남구,186612,139331
23040,연수구,145270,120555
23050,남동구,248999,231497
23060,부평구,258191,191411
23070,계양구,161330,101921
23080,서구,232999,194603
23310,강화군,32703,34066
23320,옹진군,11682,13132
24,광주광역시,649556,600516
24010,동구,41737,59825
24020,서구,135160,134971
24030,남구,94875,65732
24040,북구,197477,158291
24050,광산구,180307,181613
25,대전광역시,686900,648616
25010,동구,105242,87431
25020,중구,111192,93197
25030,서구,224234,194090
25040,유성구,156596,172334
25050,대덕구,89636,101507
26,울산광역시,544141,566412
26010,중구,111022,65983
26020,남구,160949,176677
26030,동구,83468,104471
26040,북구,87673,100347
26310,울주군,101029,118888
29,세종특별자치시,94092,103915
29010,세종시,94092,103749
31,경기도,5840805,5227324
31010,수원시,559300,458213
31011,장안구,136723,82667
31012,권선구,168189,119235
31013,팔달구,94958,91748
31014,영통구,159430,164167
31020,성남시,453340,449027
31021,수정구,110307,74463
31022,중원구,125765,103393
31023,분당구,217268,270833
31030,의정부시,193795,131590
31040,안양시,284434,238128
31041,만안구,119058,88050
31042,동안구,165376,149969
31050,부천시,411306,319584
31051,원미구,216372,182386
31052,소사구,106200,67952
31053,오정구,88734,69184
31060,광명시,158096,101839
31070,평택시,215905,240047
31080,동두천시,42861,35533
31090,안산시,338478,330447
31091,상록구,177645,119816
31092,단원구,160833,210430
31100,고양시,456561,340758
31101,덕양구,198104,122138
31103,일산동구,130866,129256
31104,일산서구,127591,89176
31110,과천시,29603,34228
31120,구리시,85852,69617
31130,남양주시,289767,190999
31140,오산시,99824,69058
31150,시흥시,196848,212594
31160,군포시,136012,96985
31170,의왕시,74008,52220
31180,하남시,75063,71787
31190,용인시,430075,339290
31191,처인구,107810,117527
31192,기흥구,181869,147008
31193,수지구,140396,74479
31200,파주시,195970,193481
31210,이천시,104962,122316
31220,안성시,93012,103519
31230,김포시,160320,157159
31240,화성시,286538,388624
31250,광주시,151191,135806
31260,양주시,93971,89820
31270,포천시,75887,102875
31280,여주시,52880,54709
31350,연천군,21895,24315
31370,가평군,28118,31082
31380,양평군,44933,41428
32,강원도,712012,720382
32010,춘천시,123172,116878
32020,원주시,151630,146087
32030,강릉시,96697,94578
32040,동해시,38996,37349
32050,태백시,20380,18072
32060,속초시,36850,33542
32070,삼척시,30980,33334
32310,홍천군,35382,39583
32320,횡성군,23007,27552
32330,영월군,19258,20972
32340,평창군,22169,26275
32350,정선군,19734,23453
32360,철원군,23232,23781
32370,화천군,13520,15541
32380,양구군,11818,12686
32390,인제군,16787,18072
32400,고성군,14613,17335
32410,양양군,13787,15232
33,충청북도,752702,773472
33020,충주시,98344,97760
33030,제천시,63943,61829
33040,청주시,386136,364472
33041,상당구,77956,65664
33042,서원구,97750,81488
33043,흥덕구,123913,127053
33044,청원구,86517,90218
33320,보은군,17590,20241
33330,옥천군,23926,27229
33340,영동군,24884,26939
33350,진천군,34316,47420
33360,괴산군,18986,22357
33370,음성군,51190,70236
33380,단양군,15470,18144
33390,증평군,17917,16827
34,충청남도,1045806,1118506
34010,천안시,302996,297993
34011,동남구,130446,120300
34012,서북구,172550,177611
34020,공주시,54043,58413
34030,보령시,51243,52779
34040,아산시,150415,179765
34050,서산시,85238,87970
34060,논산시,59685,66165
34070,계룡시,16876,15373
34080,당진시,84635,96227
34310,금산군,27420,37560
34330,부여군,36458,38438
34340,서천군,28887,31450
34350,청양군,18722,20419
34360,홍성군,49596,51709
34370,예산군,44206,45744
34380,태안군,35386,38481
35,전라북도,820664,822122
35010,전주시,283108,245727
35011,완산구,157974,131658
35012,덕진구,125134,114001
35020,군산시,115528,119650
35030,익산시,127194,125063
35040,정읍시,50499,53072
35050,남원시,40021,41750
35060,김제시,39435,45121
35310,완주군,42750,56425
35320,진안군,12053,14437
35330,무주군,13112,14367
35340,장수군,12321,13495
35350,임실군,14032,17239
35360,순창군,14485,15832
35370,고창군,29001,30922
35380,부안군,27125,29012
36,전라남도,870571,919563
36010,목포시,101672,82978
36020,여수시,122466,130131
36030,순천시,121210,106054
36040,나주시,46217,58983
36060,광양시,68975,77178
36310,담양군,21770,26376
36320,곡성군,15369,19649
36330,구례군,13112,14027
36350,고흥군,35415,36963
36360,보성군,22608,24137
36370,화순군,30225,31013
36380,장흥군,19367,20346
36390,강진군,19013,19620
36400,해남군,38110,40828
36410,영암군,30209,51506
36420,무안군,38857,39770
36430,함평군,16883,19048
36440,영광군,25836,28779
36450,장성군,19746,25321
36460,완도군,25847,26403
36470,진도군,16715,17325
36480,신안군,20949,23123
37,경상북도,1290109,1389561
37010,포항시,229594,226925
37011,남구,110770,127929
37012,북구,118824,98927
37020,경주시,121659,137089
37030,김천시,68126,70984
37040,안동시,80848,78813
37050,구미시,205730,231284
37060,영주시,49348,48325
37070,영천시,49652,60547
37080,상주시,52399,53868
37090,문경시,34891,34709
37100,경산시,120886,132002
37310,군위군,12160,15079
37320,의성군,29766,32180
37330,청송군,15670,17581
37340,영양군,10156,10706
37350,영덕군,18025,19546
37360,청도군,23128,25992
37370,고령군,16993,22799
37380,성주군,22771,30832
37390,칠곡군,57451,64102
37400,예천군,24048,25753
37410,봉화군,17312,19312
37420,울진군,24246,25879
37430,울릉군,5250,5250
38,경상남도,1574475,1617685
38030,진주시,158713,142020
38050,통영시,63483,58868
38060,사천시,54713,60430
38070,김해시,245917,245671
38080,밀양시,50197,52646
38090,거제시,130309,148665
38100,양산시,134736,141218
38110,창원시,490211,489248
38111,의창구,121231,119956
38112,성산구,114136,154553
38113,마산합포구,80342,71851
38114,마산회원구,95735,76326
38115,진해구,78767,66507
38310,의령군,13342,15228
38320,함안군,33908,47722
38330,창녕군,31243,34799
38340,고성군,27269,32245
38350,남해군,23851,24692
38360,하동군,23304,25797
38370,산청군,17878,20140
38380,함양군,20539,21372
38390,거창군,31401,31781
38400,합천군,23461,25127
