code,geo,pop,emp_res,emp
11110,종로구,154986,72265,295339
11140,중구,125733,59861,367256
11170,용산구,233342,106678,158693
11200,성동구,297003,144719,162332
11215,광진구,360369,181481,143502
11230,동대문구,360153,167533,184310
11260,중랑구,413909,201743,124506
11290,성북구,459275,210715,144507
11305,강북구,330873,151430,95819
11320,도봉구,351242,158846,92341
11350,노원구,574583,252322,156984
11380,은평구,497920,228374,120771
11410,서대문구,312141,142557,139925
11440,마포구,387643,187115,252796
11470,양천구,484532,219117,141714
11500,강서구,589074,280164,216475
11530,구로구,422092,204936,228709
11545,금천구,236284,119876,189225
11560,영등포구,378504,185518,359841
11590,동작구,400641,192677,133246
11620,관악구,509663,258981,152254
11650,서초구,446764,196572,370658
11680,강남구,576495,255532,730238
11710,송파구,660302,307353,300016
11740,강동구,458658,218203,160448
26110,중구,45816,59861,367256
26140,서구,115963,47905,43178
26170,동구,92069,38928,60847
26200,영도구,129385,52186,45509
26230,부산진구,381572,170817,162977
26260,동래구,272837,120030,90960
26290,남구,283101,120456,92789
26320,북구,310484,131488,71554
26350,해운대구,422818,178412,147858
26380,사하구,337781,152160,124630
26410,금정구,246026,105469,90611
26440,강서구,94608,280164,216475
26470,연제구,210718,91334,83972
26500,수영구,179795,78636,55776
26530,사상구,237711,109625,131506
26710,기장군,153093,64273,66123
27110,중구,80928,59861,367256
27140,동구,349728,38928,60847
27170,서구,206028,47905,43178
27200,남구,160852,120456,92789
27230,북구,443119,131488,71554
27260,수성구,451786,182532,139169
27290,달서구,602641,268645,235667
27710,달성군,192747,87438,93830
28110,중구,114493,59861,367256
28140,동구,72571,38928,60847
28170,남구,404893,120456,92789
28185,연수구,319052,145270,120555
28200,남동구,531395,248999,231497
28237,부평구,555844,258191,191411
28245,계양구,334332,161330,101921
28260,서구,504606,47905,43178
28710,강화군,67667,32703,34066
28720,옹진군,20962,11682,13132
29110,동구,98784,38928,60847
29140,서구,305028,47905,43178
29155,남구,221318,120456,92789
29170,북구,446316,131488,71554
29200,광산구,400753,180307,181613
30110,동구,239579,38928,60847
30140,중구,256186,59861,367256
30170,서구,490859,47905,43178
30200,유성구,335312,156596,172334
30230,대덕구,196839,89636,101507
31110,중구,244481,59861,367256
31140,남구,343598,120456,92789
31170,동구,174963,38928,60847
31200,북구,191063,131488,71554
31710,울주군,219429,101029,118888
36110,세종특별자치시,210884,94092,103749
41111,수원시 장안구,299016,136723,82667
41113,수원시 권선구,351053,168189,119235
41115,수원시 팔달구,199180,94958,91748
41117,수원시 영통구,335375,159430,164167
41131,성남시 수정구,219531,110307,74463
41133,성남시 중원구,250004,125765,103393
41135,성남시 분당구,501889,217268,270833
41150,의정부시,433937,193795,131590
41171,안양시 만안구,247270,119058,88050
41173,안양시 동안구,350519,165376,149969
41195,부천시 원미구,442898,216372,182386
41197,부천시 소사구,222016,106200,67952
41199,부천시 오정구,184073,88734,69184
41210,광명시,344978,158096,101839
41220,평택시,460532,215905,240047
41250,동두천시,97974,42861,35533
41271,안산시 상록구,379517,177645,119816
41273,안산시 단원구,318368,160833,210430
41281,고양시 덕양구,441988,198104,122138
41285,고양시 일산동구,285658,130866,129256
41287,고양시 일산서구,299900,127591,89176
41290,과천시,68946,29603,34228
41310,구리시,186721,85852,69617
41360,남양주시,653454,289767,190999
41370,오산시,206828,99824,69058
41390,시흥시,398256,196848,212594
41410,군포시,287519,136012,96985
41430,의왕시,157740,74008,52220
41450,하남시,166713,75063,71787
41461,용인시 처인구,221347,107810,117527
41463,용인시 기흥구,409162,181869,147008
41465,용인시 수지구,345237,140396,74479
41480,파주시,423321,195970,193481
41500,이천시,204935,104962,122316
41550,안성시,180199,93012,103519
41570,김포시,349990,160320,157159
41590,화성시,596525,286538,388624
41610,광주시,312579,151191,135806
41630,양주시,205184,93971,89820
41650,포천시,155192,75887,102875
41670,여주시,111033,52880,54709
41800,연천군,45725,21895,24315
41820,가평군,62008,28118,31082
41830,양평군,108316,44933,41428
42110,춘천시,277997,123172,116878
42130,원주시,332995,151630,146087
42150,강릉시,214560,96697,94578
42170,동해시,93895,38996,37349
42190,태백시,47501,20380,18072
42210,속초시,81992,36850,33542
42230,삼척시,70839,30980,33334
42720,홍천군,70336,35382,39583
42730,횡성군,45777,23007,27552
42750,영월군,40216,19258,20972
42760,평창군,43500,22169,26275
42770,정선군,39197,19734,23453
42780,철원군,48799,23232,23781
42790,화천군,27020,13520,15541
42800,양구군,24089,11818,12686
42810,인제군,33255,16787,18072
42820,고성군,30060,14613,17335
42830,양양군,27479,13787,15232
43111,청주시 상당구,176424,77956,65664
43112,청주시 서원구,220045,97750,81488
43113,청주시 흥덕구,253426,123913,127053
43114,청주시 청원구,182017,86517,90218
43130,충주시,207913,98344,97760
43150,제천시,136138,63943,61829
43720,보은군,34296,17590,20241
43730,옥천군,52404,23926,27229
43740,영동군,50693,24884,26939
43745,증평군,36671,17917,16827
43750,진천군,67981,34316,47420
43760,괴산군,38787,18986,22357
43770,음성군,96396,51190,70236
43800,단양군,30761,15470,18144
44131,천안시 동남구,261474,130446,120300
44133,천안시 서북구,344302,172550,177611
44150,공주시,111261,54043,58413
44180,보령시,104754,51243,52779
44200,아산시,297737,150415,179765
44210,서산시,170099,85238,87970
44230,논산시,124232,59685,66165
44250,계룡시,41730,16876,15373
44270,당진시,165122,84635,96227
44710,금산군,54879,27420,37560
44760,부여군,71143,36458,38438
44770,서천군,56910,28887,31450
44790,청양군,32485,18722,20419
44800,홍성군,94553,49596,51709
44810,예산군,83484,44206,45744
44825,태안군,63484,35386,38481
45111,전주시 완산구,365605,157974,131658
45113,전주시 덕진구,286677,125134,114001
45130,군산시,278398,115528,119650
45140,익산시,302061,127194,125063
45180,정읍시,115977,50499,53072
45190,남원시,84856,40021,41750
45210,김제시,88721,39435,45121
45710,완주군,95303,42750,56425
45720,진안군,26203,12053,14437
45730,무주군,25220,13112,14367
45740,장수군,23277,12321,13495
45750,임실군,30271,14032,17239
45770,순창군,30248,14485,15832
45790,고창군,60046,29001,30922
45800,부안군,56848,27125,29012
46110,목포시,238382,101672,82978
46130,여수시,290168,122466,130131
46150,순천시,278765,121210,106054
46170,나주시,98182,46217,58983
46230,광양시,153587,68975,77178
46710,담양군,47009,21770,26376
46720,곡성군,30672,15369,19649
46730,구례군,27308,13112,14027
46770,고흥군,68601,35415,36963
46780,보성군,45349,22608,24137
46790,화순군,65848,30225,31013
46800,장흥군,43513,19367,20346
46810,강진군,38758,19013,19620
46820,해남군,76194,38110,40828
46830,영암군,58137,30209,51506
46840,무안군,82236,38857,39770
46860,함평군,34876,16883,19048
46870,영광군,56267,25836,28779
46880,장성군,46360,19746,25321
46890,완도군,53014,25847,26403
46900,진도군,32476,16715,17325
46910,신안군,43294,20949,23123
47111,포항시 남구,246445,120456,92789
47113,포항시 북구,273139,131488,71554
47130,경주시,259773,121659,137089
47150,김천시,140132,68126,70984
47170,안동시,169221,80848,78813
47190,구미시,419915,205730,231284
47210,영주시,109735,49348,48325
47230,영천시,100648,49652,60547
47250,상주시,102374,52399,53868
47280,문경시,75784,34891,34709
47290,경산시,256888,120886,132002
47720,군위군,24126,12160,15079
47730,의성군,54477,29766,32180
47750,청송군,26384,15670,17581
47760,영양군,17898,10156,10706
47770,영덕군,39191,18025,19546
47820,청도군,43724,23128,25992
47830,고령군,34594,16993,22799
47840,성주군,45029,22771,30832
47850,칠곡군,122829,57451,64102
47900,예천군,44674,24048,25753
47920,봉화군,33808,17312,19312
47930,울진군,51885,24246,25879
47940,울릉군,10153,5250,5250
48121,창원시 의창구,256471,121231,119956
48123,창원시 성산구,234399,114136,154553
48125,창원시 마산합포구,181670,80342,71851
48127,창원시 마산회원구,211791,95735,76326
48129,창원시 진해구,185733,78767,66507
48170,진주시,344426,158713,142020
48220,통영시,139168,63483,58868
48240,사천시,115452,54713,60430
48250,김해시,528865,245917,245671
48270,밀양시,107896,50197,52646
48310,거제시,255828,130309,148665
48330,양산시,301291,134736,141218
48720,의령군,28544,13342,15228
48730,함안군,69156,33908,47722
48740,창녕군,63817,31243,34799
48820,고성군,55284,14613,17335
48840,남해군,45865,23851,24692
48850,하동군,50259,23304,25797
48860,산청군,36071,17878,20140
48870,함양군,40339,20539,21372
48880,거창군,63232,31401,31781
48890,합천군,49145,23461,25127
